substation id,substation name,status,owner,kv_12_to_32,kv_33_to_92,kv_110_to_161,kv_220_to_287,kv_345_to_500,kv_500_dc,highest_kv,postal city,county,zip code,state
SS3604,N.N.,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,White Water,Riverside,92282,CA
SS3124,Naomi,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Los Angeles,Los Angeles,90001,CA
SS1120,Napa,Operational,PG&E,0,YES,YES,0,0,0,110kV to 161kV,Napa,Napa,94559,CA
SS1608,Narod,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Ontario,San Bernardino,91762,CA
SS0163,Narrows,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Smartville,Nevada,95977,CA
SS0846,Narrows,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Pico Rivera,Los Angeles,90660,CA
SS1708,Narrows,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Borrego Springs,San Diego,92004,CA
SS2788,Nasa,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Mountain View,Santa Clara,94035,CA
SS1794,National,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Stockton,San Joaquin,95203,CA
SS1709,National City,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,National City,San Diego,91950,CA
SS1483,Natomas,Operational,SMUD,0,YES,0,YES,0,0,220kV to 287kV,Sacramento,Sacramento,95834,CA
SS3516,Natomas Crossing,Operational,SMUD,YES,0,0,0,0,0,12kV to 32kV,Sacramento,Sacramento,95834,CA
SS2881,Naval Sta.,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,San Diego,San Diego,92136,CA
SS0397,Navy Base,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,El Centro,Imperial,92243,CA
SS0847,Navy Mole,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Long Beach,Los Angeles,90802,CA
SS1102,Navy School,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Monterey,Monterey,93943,CA
SS0848,Navy-1,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Long Beach,Los Angeles,90802,CA
SS2722,Ncpa 1 & 2,Operational,PG&E,0,0,0,YES,0,0,220kV to 287kV,Middletown,Sonoma,95461,CA
SS2707,Ncpa 3 & 4,Operational,PG&E,0,0,0,YES,0,0,220kV to 287kV,Middletown,Lake,95461,CA
SS2498,Ncpa Alameda,Operational,Other,YES,0,YES,0,0,0,110kV to 161kV,Alameda,Alameda,94501,CA
SS2875,Ncr Metering Sta.,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Escondido,San Diego,92029,CA
SS1553,Needles,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Needles,San Bernardino,92363,CA
SS0849,Neenach,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Lancaster,Los Angeles,93536,CA
SS1319,Nelson,Operational,SCE,0,YES,YES,0,0,0,110kV to 161kV,Hemet,Riverside,92543,CA
SS0048,Nepco,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Sutter Creek,Amador,95685,CA
SS0850,Neptune,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Carson,Los Angeles,90745,CA
SS2459,New Hogan,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Valley Springs,Calaveras,95252,CA
SS1344,New Hope,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Lodi,San Joaquin,95242,CA
SS2462,New Melones,Operational,WAPA,0,0,YES,0,0,0,110kV to 161kV,Angels Camp,Calaveras,95222,CA
SS2893,New Moccasin Cr,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Groveland,Tuolumne,95321,CA
SS0025,Newark,Operational,PG&E,0,YES,YES,YES,0,0,220kV to 287kV,Fremont,Alameda,94538,CA
SS3237,Newark Distribution,Operational,PG&E,0,0,0,YES,0,0,220kV to 287kV,Fremont,Alameda,94538,CA
SS3241,Newark-Sierra-Paperbroad,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Stockton,San Joaquin,95203,CA
SS0337,Newburg,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Fortuna,Humboldt,95540,CA
SS2257,Newbury,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Newbury Park,Ventura,91320,CA
SS2785,Newby Island I,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,San Jose,Santa Clara,95134,CA
SS0190,Newcastle,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Newcastle,Placer,95658,CA
SS1320,Newcomb,Operational,SCE,0,YES,YES,0,0,0,110kV to 161kV,Sun City,Riverside,92586,CA
SS1065,Newell,Operational,PCORP,0,YES,0,0,0,0,33kV to 92kV,Tulelake,Modoc,96134,CA
SS0852,Newhall,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Valencia,Los Angeles,91355,CA
SS0978,Newhall,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Firebaugh,Madera,93622,CA
SS2154,Newman,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Newman,Stanislaus,95360,CA
SS0851,Newmark,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Monterey Park,Los Angeles,91754,CA
SS0668,Nichols Canyon,Operational,LADWP,0,0,YES,YES,0,0,220kV to 287kV,Los Angeles,Los Angeles,90046,CA
SS0958,Nietos,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Santa Fe Springs,Los Angeles,90670,CA
SS1183,Niguel,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Aliso Viejo,Orange,92656,CA
SS0398,Niland,Operational,IID,0,YES,YES,0,0,0,110kV to 161kV,Calipatria,Imperial,92233,CA
SS3457,Niland Ss,Operational,IID,0,0,YES,0,0,0,110kV to 161kV,Calipatria,Impeial,92233,CA
SS1336,Nimbus,Operational,Other,0,YES,YES,0,0,0,110kV to 161kV,Rancho Cordova,Sacramento,95742,CA
SS3636,Ninland Dist.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Calipatria,Imperial,92233,CA
SS3637,Ninland Gen.,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Calipatria,Imperial,92233,CA
SS2348,Niqf,Operational,SDG&E,0,YES,0,0,0,0,33kV to 92kV,Coronado,San Diego,92118,CA
SS0393,No Mans Land,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Winterhaven,Imperial,92283,CA
SS0853,Nogales,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Walnut,Los Angeles,91789,CA
