pop,state,zip
16528,36,13203
14892,36,13215
108,36,13301
624,36,13310
6179,36,13316
1305,36,13318
120,36,13331
2939,36,13332
1519,36,13335
1772,36,13343
9827,36,13350
163,36,13360
3617,36,13491
16,36,13475
864,36,13486
1757,36,13490
2197,36,13495
2574,36,13613
851,36,10597
5610,36,10913
1491,36,10919
13389,36,10924
50895,36,10950
10316,36,10707
26410,36,10710
3878,36,10925
13176,36,10941
1283,36,10964
2363,36,10968
1162,36,12913
2192,36,12926
846,36,12942
581,36,12945
493,36,12952
15569,36,12953
381,36,12955
1899,36,12957
1099,36,12960
2685,36,12966
1186,36,12967
6034,36,12972
26599,36,12306
35339,36,12401
471,36,12410
276,36,12424
1129,36,12431
486,36,12444
1536,36,12451
363,36,12454
893,36,12457
738,36,13072
7135,36,13077
6050,36,13108
1896,36,13156
2587,36,13164
6581,36,13202
18728,36,13204
13135,36,13207
3342,36,10987
3365,36,10958
9300,36,10989
7326,36,10994
10853,36,10536
26656,36,10541
5215,36,10594
23951,36,10566
38861,36,10573
40013,36,10583
32223,36,10704
8734,36,10706
9008,36,10920
3911,36,10921
8990,36,10930
23354,36,10954
5314,36,10962
2123,36,10973
257,36,10975
2357,36,10976
6673,36,10996
427,36,10535
7023,36,10007
43703,36,10019
0,36,10020
46215,36,10021
22800,36,10038
27726,36,10039
0,36,10165
0,36,10167
0,36,10278
9384,36,10280
18204,36,10302
25947,36,10303
74554,36,10457
4434,36,10464
1791,36,10986
8951,36,10992
7068,36,10507
54682,36,10003
57925,36,10009
50472,36,10011
31125,36,10022
249,36,13305
917,36,13321
174,36,13345
32,36,13352
173,36,13362
0,36,13290
1113,36,13303
5823,36,13309
484,36,13313
373,36,13314
902,36,13322
38114,36,13021
1593,36,13304
2038,36,13110
36335,36,13126
1566,36,13145
16360,36,13206
16837,36,13039
2069,36,13083
2301,36,13101
6120,36,13114
4509,36,13140
6338,36,13142
2354,36,13146
2055,36,13160
5572,36,13166
17479,36,13205
28234,36,13210
21349,36,13212
1773,36,13431
24992,36,11784
15033,36,11798
1138,36,11932
3199,36,11935
9871,36,13642
2722,36,13654
3108,36,13656
479,36,13659
