pop,state,zip
35287,06,94621
11455,06,94708
7461,06,94710
44239,06,94117
42471,06,94134
36905,06,94404
25258,06,94506
66933,06,94509
28262,06,94510
29958,06,94801
26165,06,94803
42482,06,94901
26573,06,94947
36184,06,94952
15725,06,94960
689,06,94970
14217,06,94542
50500,06,94550
710,06,95387
45355,06,95403
27312,06,95409
15550,06,95422
3757,06,95423
10586,06,95425
2198,06,95454
754,06,95456
618,06,95459
2538,06,95464
241,06,95493
1433,06,95525
77,06,93592
37463,06,93619
0,06,93633
12690,06,93636
13189,06,93723
11926,06,93730
0,06,93943
4198,06,93235
2343,06,93283
4117,06,93953
1604,06,93426
1899,06,93545
123,06,93623
48473,06,93611
70039,06,92114
65853,06,92115
29142,06,92120
48438,06,92122
86811,06,92154
33014,06,92220
7618,06,92233
15118,06,92274
41807,06,92308
34503,06,94063
49699,06,94553
29933,06,94602
30289,06,94608
22811,06,94609
603,06,94922
8601,06,94931
694,06,94946
134,06,94950
1342,06,94973
38388,06,94555
9784,06,94571
98,06,94576
53266,06,91344
71422,06,91730
54825,06,91764
25192,06,91775
45206,06,91790
63393,06,91977
8720,06,91020
25794,06,91030
37974,06,91104
37618,06,91205
34523,06,91007
26631,06,91042
34386,06,91206
10386,06,95694
938,06,95703
440,06,95714
42494,06,95762
13461,06,95817
19659,06,95819
30296,06,95824
46709,06,95843
