,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
91,82 11TH ST,-8799744.533,5328169.652,West,Niagara Falls,0.0,6.0,8.0,1.0,['12/4.16'],['3.5'],14.0,4307.0,2011-11-28,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,2.9605056,7.0
92,83 WELCH AVE,-8797988.236,5325355.708,West,Niagara Falls,0.0,8.0,8.0,3.0,['12/4.16'],['3.5'],16.0,4136.0,1949-01-01,12.0,4.16,0.0,3.5,0.0,0.0,0.0,0.0,True,3.2767072,5.0
93,85 STEPHENSON AVE,-8791846.427,5324062.534,West,Niagara Falls,0.0,6.0,8.0,3.0,['12/4.8'],['3.5'],14.0,3549.0,1968-01-01,12.0,4.8,0.0,3.5,0.0,0.0,0.0,0.0,True,4.985616,6.0
94,86 LEWISTON HEIGHTS,-8797442.791,5335201.371,West,Lewiston,0.0,2.0,2.0,1.0,['34.5/4.8'],['4.6/5.25'],4.0,909.0,2004-08-06,34.5,4.8,0.0,4.6,5.25,0.0,0.0,0.0,True,1.0880159999999999,2.0
95,87 LEWISTON,-8798748.569,5338797.897,West,Lewiston,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.75/4.69'],5.0,1355.0,2005-12-01,34.5,4.8,0.0,3.75,4.69,0.0,0.0,0.0,True,2.4351839999999996,2.0
96,88 YOUNGSTOWN,-8799514.922,5349252.209,West,Porter,0.0,2.0,2.0,1.0,['34.4/5.04'],['3.75/4.688'],4.0,1230.0,2012-05-30,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,1.944,2.0
97,89 RANSOMVILLE,-8783198.467,5347779.77,West,Wilson,0.0,2.0,2.0,1.0,['34.5/4.8'],['3.75'],4.0,1833.0,2004-04-26,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.6976,2.0
98,93 WILSON,-8774975.813,5356804.547,West,Wilson,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.75'],5.0,2129.0,2013-01-17,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,3.8495999999999997,3.0
99,97 SUMMIT PARK,-8786003.547,5325419.167,West,Wheatfield,2.0,0.0,8.0,2.0,['113/13.8'],['12/16/22.4'],10.0,5767.0,1971-09-13,113.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,12.223199999999999,8.0
100,AKWESASNE,-8318283.249,5617402.428,Central,Massena,1.0,2.0,3.0,1.0,"['115/34.5', '115/4.8']","['10/12.5', '20/26.67/33.33']",6.0,670.0,2008-06-21,115.0,34.5,0.0,20.0,26.67,33.33,0.0,0.0,True,,
101,ALBION,-8704194.827,5349836.05,West,Albion,0.0,3.0,4.0,1.0,['34.5/4.8'],"['3.75', '3.75/5.25']",7.0,2368.0,1996-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,3.3407999999999998,4.0
102,ALDER CREEK,-8374086.858,5376291.216,Central,Boonville,0.0,2.0,1.0,1.0,"['43.8/13.8', '46/4.8']","['0.5', '3.75/4.2']",3.0,2126.0,1975-01-01,43.8,13.8,0.0,3.75,4.2,0.0,0.0,0.0,True,,
103,ALTAMONT,-8237166.511,5267919.351,East,Guilderland,2.0,1.0,3.0,1.0,"['115/13.8', '115/34.5']","['12/16/20', '5']",6.0,5257.0,1975-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
104,ANDOVER,,,West,Andover,2.0,0.0,2.0,1.0,"['115/34.5', '34.5/4.8']","['1', '20/26.7']",4.0,516.0,1957-08-27,115.0,34.5,0.0,20.0,26.7,0.0,0.0,0.0,True,,
105,ANTWERP,-8417278.842,5496853.605,Central,Amtwerp,0.0,1.0,1.0,1.0,['23/4.8'],['3.75'],2.0,638.0,1994-01-01,23.0,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
