,substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders,_merge
610,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,1.0,115/34.5,20/26.7/33.3,27.0,6057.0,1947-09-18,115.0,34.5,0.0,20.0,26.7,33.3,0.0,0.0,True,,,left_only
611,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,3.0,115/34.5/13.8,6.7/8.9,0.0,6057.0,1947-09-18,115.0,34.5,13.8,6.7,8.9,0.0,0.0,0.0,True,,,left_only
612,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,1.0,115/69/13.8,33.6/44.8/56,0.0,6057.0,1947-09-18,115.0,69.0,13.8,33.6,44.8,56.0,0.0,0.0,True,,,left_only
613,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,1.0,115/13.8,15/20/25,0.0,6057.0,1947-09-18,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,,left_only
614,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,2.0,230/115/13.8,267/298,0.0,6057.0,1947-09-18,230.0,115.0,13.8,267.0,298.0,0.0,0.0,0.0,True,,,left_only
615,ROTTERDAM,East,Rotterdam,16.0,7.0,4.0,1.0,230/115/13.8,349,0.0,6057.0,1947-09-18,230.0,115.0,13.8,349.0,0.0,0.0,0.0,0.0,True,,,left_only
616,ROYALTON,West,Royalton,0.0,1.0,2.0,2.0,34.5/4.8,1.5,3.0,1272.0,1972-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,2.0976,2.0,both
617,RUSSELL RD,East,Albany,0.0,1.0,1.0,1.0,34.5/13.2,5,2.0,157.0,1994-01-01,34.5,13.2,0.0,5.0,0.0,0.0,0.0,0.0,True,,,left_only
618,RUTH ROAD,East,Colonie,2.0,0.0,5.0,1.0,115/13.8,20.2/26.9/33.6,7.0,6051.0,1971-01-01,115.0,13.8,0.0,20.2,26.9,33.6,0.0,0.0,True,,,left_only
619,S. PHILADELPHIA,Central,Philadelphia,0.0,3.0,1.0,2.0,23/4.8,0.5,4.0,607.0,1955-01-01,23.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,,left_only
