substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
LAKEVILLE,West,Geneseo,0,0,0,1,115/34.5,25/33.3/41.7,0,1475,1970-01-01,115.0,34.5,0.0,25,33.3,41.7,0,0,True
N. LAWRENCE,Central,Lawrence,0,1,1,1,34.5/4.8,2.5,2,675,2004-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
N LEROY STATION,West,Leroy,2,0,3,1,115/13.8,12/16/20/22.4,5,4924,2012-05-15,115.0,13.8,0.0,12,16,20,22.4,0,True
N. OLEAN,West,Olean,0,2,2,3,34.5/4.8,1.25,4,1212,1959-01-01,34.5,4.8,0.0,1.25,0,0,0,0,True
NORTH TROY,East,Brunswick,6,5,4,1,115/13.8,15/20/25,15,6150,2007-02-01,115.0,13.8,0.0,15,20,25,0,0,True
NORTH TROY,East,Brunswick,6,5,4,1,115/34.5/13.8,30/40/50,0,6150,2007-02-01,115.0,34.5,13.8,30,40,50,0,0,True
NORTH TROY,East,Brunswick,6,5,4,1,115/34.5,30/40,0,6150,2007-02-01,115.0,34.5,0.0,30,40,0,0,0,True
NORTHVILLE,East,Northampton,0,2,2,1,69/13.8,10/12.5,4,4196,1992-01-01,69.0,13.8,0.0,10,12.5,0,0,0,True
NORTHVILLE,East,Northampton,0,2,2,1,69/23,10/12.5,0,4196,1992-01-01,69.0,23.0,0.0,10,12.5,0,0,0,True
NORWOOD,Central,Potsdam,0,1,2,3,23/4.8,1.25,3,1571,1961-01-01,23.0,4.8,0.0,1.25,0,0,0,0,True
OAK HILL,West,Ellicott,2,0,1,1,34.5/4.8,2.5,3,224,1996-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
OAKFIELD STATION,West,Oakfield,1,4,3,1,115/34.5,28/37.3/46.7,8,1585,1975-01-01,115.0,34.5,0.0,28,37.3,46.7,0,0,True
OAKFIELD STATION,West,Oakfield,1,4,3,1,34.5/4.8,3.75,0,1585,1975-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
232 OAKWOOD,West,Pendleton,2,0,6,2,115/13.8,15/20/25,8,3793,2005-08-01,115.0,13.8,0.0,15,20,25,0,0,True
OATHOUT,East,Colonie,0,1,2,1,34.4/13.8/7.9,10.0/12.5,3,1909,1998-01-01,34.4,13.8,7.9,10.0,12.5,0,0,0,True
OGDENBROOK,East,Queensbury,2,0,4,1,115/13.8/7.9,13.4/17.9/22.4,6,6027,1975-02-18,115.0,13.8,7.9,13.4,17.9,22.4,0,0,True
